name,code,rgb,detail_url,brand_descr,lrv,collection,recommendations
Pink Powderpuff,001,"rgb(255, 213, 203)",https://www.benjaminmoore.com/en-us/paint-colors/color/001/pink-powderpuff,A touch of coral adds a playful verve to this vibrant shade of pink.,70.76,Benjamin Moore Classics® Color Collection,
Summer Vacation,002,"rgb(255, 193, 182)",https://www.benjaminmoore.com/en-us/paint-colors/color/002/summer-vacation,This vivacious pink gets an extra boost from a dash of coral.,60.63,Benjamin Moore Classics® Color Collection,
Pink Paradise,003,"rgb(252, 176, 163)",https://www.benjaminmoore.com/en-us/paint-colors/color/003/pink-paradise,Bright coral undertones add tropical flavor to this bold shade of pink.,52.6,Benjamin Moore Classics® Color Collection,
Pink Polka Dot,004,"rgb(248, 149, 133)",https://www.benjaminmoore.com/en-us/paint-colors/color/004/pink-polka-dot,"With its bold strokes of pink and orange, this vibrant mid-tone brings instant cheer to a room.",42.62,Benjamin Moore Classics® Color Collection,
Tucson Coral,005,"rgb(243, 127, 107)",https://www.benjaminmoore.com/en-us/paint-colors/color/005/tucson-coral,A radiant coral with a playful pop of pink.,33.65,Benjamin Moore Classics® Color Collection,
Picante,006,"rgb(234, 109, 90)",https://www.benjaminmoore.com/en-us/paint-colors/color/006/picante,"A hint of red spices up this bright, fiery orange.",28.36,Benjamin Moore Classics® Color Collection,
Piñata,007,"rgb(225, 80, 60)",https://www.benjaminmoore.com/en-us/paint-colors/color/007/pinata,A dash of red brings an extra kick to this eye-popping orange.,19.85,Benjamin Moore Classics® Color Collection,
Pale Pink Satin,008,"rgb(247, 215, 204)",https://www.benjaminmoore.com/en-us/paint-colors/color/008/pale-pink-satin,"Hints of peach give this smooth, silky hue a warm glow.",70.58,Benjamin Moore Classics® Color Collection,
Blushing Brilliance,009,"rgb(248, 201, 192)",https://www.benjaminmoore.com/en-us/paint-colors/color/009/blushing-brilliance,"Reminiscent of the intense blush of rosé wine, this crisp shade of pink has an equally refreshing snap.",63.08,Benjamin Moore Classics® Color Collection,
Pink Canopy,010,"rgb(251, 190, 178)",https://www.benjaminmoore.com/en-us/paint-colors/color/010/pink-canopy,A hint of warmth brings radiance to this medium pink.,58.3,Benjamin Moore Classics® Color Collection,
Paradise Peach,011,"rgb(247, 162, 146)",https://www.benjaminmoore.com/en-us/paint-colors/color/011/paradise-peach,"A spirited blend of coral and flamingo pink, this mid-tone instantly conjures beachside fun.",46.52,Benjamin Moore Classics® Color Collection,
Coral Reef,012,"rgb(239, 140, 125)",https://www.benjaminmoore.com/en-us/paint-colors/color/012/coral-reef,This classic coral hue is anchored by an extra trace of red-orange.,38.87,Benjamin Moore Classics® Color Collection,
Fan Coral,013,"rgb(237, 123, 108)",https://www.benjaminmoore.com/en-us/paint-colors/color/013/fan-coral,A darker shade of coral that dips slightly into red and orange.,32.49,Benjamin Moore Classics® Color Collection,
Soft Glow,014,"rgb(220, 98, 77)",https://www.benjaminmoore.com/en-us/paint-colors/color/014/soft-glow,A confident red-orange with understated vibrancy.,23.91,Benjamin Moore Classics® Color Collection,
Soft Shell,015,"rgb(247, 219, 207)",https://www.benjaminmoore.com/en-us/paint-colors/color/015/soft-shell,A peach-tinged pink that echoes the bright hint of color found inside a conch shell.,73.11,Benjamin Moore Classics® Color Collection,
Bermuda Pink,016,"rgb(254, 214, 202)",https://www.benjaminmoore.com/en-us/paint-colors/color/016/bermuda-pink,A washed-out shade of pink that still provides a vibrant kick.,71.36,Benjamin Moore Classics® Color Collection,
Phoenix Sand,017,"rgb(249, 196, 179)",https://www.benjaminmoore.com/en-us/paint-colors/color/017/phoenix-sand,A concentrated shade of peach softened with pink undertones.,60.53,Benjamin Moore Classics® Color Collection,
Monticello Peach,018,"rgb(245, 164, 140)",https://www.benjaminmoore.com/en-us/paint-colors/color/018/monticello-peach,A delightful mid-tone that captures the luscious pink and orange hues of a perfectly ripened peach.,46.86,Benjamin Moore Classics® Color Collection,
